Designator,Mid X,Mid Y,Rotation,Layer
C1,205.05,-95.94,180.0,top
C2,202.975,-90.388,90.0,top
C3,203.92,-82.48,0.0,top
C4,203.93,-77.79,0.0,top
D1,208.44,-98.4925,270.0,top
IC1,137.9,-81.45,270.0,top
IC2,206.635,-90.308,270.0,top
J1,220.3,-81.45,90.0,top
J10,119.34,-81.425,0.0,top
J2,199.595,-99.5625,270.0,top
J3,109.95,-99.69,90.0,top
J4,170.48,-65.13,180.0,top
J5,141.8,-101.77,180.0,top
J6,141.8,-62.27,180.0,top
J7,170.48,-97.01,180.0,top
J8,199.96,-80.81,180.0,top
J9,112.08,-81.425,0.0,top
LED1,222.97,-87.94,0.0,top
LED2,223.01,-89.55,0.0,top
M1,185.89,-66.81,0.0,bottom
M2,186.06,-96.03,180.0,bottom
M3,127.25,-66.85,0.0,bottom
M4,127.17,-96.12,180.0,bottom
R1,219.83,-87.94,180.0,top
R2,219.89,-89.59,180.0,top
R3,203.92,-80.88,0.0,top
R4,203.92,-79.35,0.0,top
Rprog1,208.11,-85.828,0.0,top
SW1,218.08,-97.13,270.0,top
U1,170.3075,-80.948619,180.0,top
U2,205.05,-101.01,180.0,top
U3,204.6025,-98.47,0.0,top
U4,209.83,-79.54,180.0,top
